Country,Year,Life Expectancy F,Life Expectancy M,Total Life Expectancy
guyana,2016,"71,88","65,08","68,38"
haiti,2021,"66,12","60,40","63,19"
haiti,2020,"67,12","61,13","64,05"
haiti,2019,"67,33","61,31","64,26"
haiti,2018,"66,92","61,23","64,02"
haiti,2017,"66,73","61,09","63,85"
haiti,2016,"66,24","60,66","63,39"
honduras,2021,"72,53","67,89","70,12"
honduras,2020,"73,99","69,13","71,46"
honduras,2019,"75,37","70,53","72,88"
honduras,2018,"75,32","70,46","72,81"
honduras,2017,"75,19","70,35","72,69"
honduras,2016,"75,08","70,26","72,59"
hungria,2021,"77,80","70,70","74,30"
hungria,2020,"79,00","72,30","75,70"
hungria,2019,"79,70","73,10","76,50"
hungria,2018,"79,60","72,70","76,20"
hungria,2017,"79,30","72,50","76,00"
hungria,2016,"79,70","72,60","76,20"
india,2021,"68,89","65,76","67,24"
india,2020,"71,82","68,62","70,15"
india,2019,"72,40","69,53","70,91"
india,2018,"72,14","69,37","70,71"
india,2017,"71,86","69,16","70,47"
india,2016,"71,50","68,81","70,12"
indonesia,2021,"69,74","65,53","67,57"
indonesia,2020,"70,98","66,75","68,81"
indonesia,2019,"72,60","68,48","70,52"
indonesia,2018,"72,40","68,31","70,34"
indonesia,2017,"71,90","68,00","69,94"
indonesia,2016,"71,75","67,87","69,80"
irak,2021,"72,42","68,20","70,38"
irak,2020,"71,19","66,95","69,12"
irak,2019,"73,43","69,56","71,58"
irak,2018,"73,29","69,56","71,51"
irak,2017,"73,24","67,51","70,41"
irak,2016,"72,38","65,61","68,99"
iran,2021,"76,81","71,25","73,88"
iran,2020,"77,82","72,10","74,83"
iran,2019,"79,06","73,38","76,10"
iran,2018,"79,09","73,52","76,20"
iran,2017,"78,90","73,27","75,97"
iran,2016,"78,34","73,06","75,60"
irlanda,2021,"84,30","80,50","82,40"
irlanda,2020,"84,40","80,80","82,60"
irlanda,2019,"84,70","80,80","82,80"
irlanda,2018,"84,10","80,40","82,20"
irlanda,2017,"84,00","80,40","82,20"
irlanda,2016,"83,60","79,80","81,70"
islandia,2021,"84,60","81,80","83,20"
islandia,2020,"84,60","81,60","83,10"
islandia,2019,"84,70","81,70","83,20"
islandia,2018,"84,50","81,30","82,90"
