,Year,Life Expectancy F,Life Expectancy M,Total Life Expectancy,Continent
442,2017,62.04,57.97,60.07,África
443,2016,61.78,57.45,59.67,África
444,2021,62.73,58.78,60.59,África
445,2020,62.94,58.81,60.71,África
446,2019,63.54,59.98,61.64,África
447,2018,63.04,59.56,61.19,África
448,2017,62.83,59.05,60.82,África
449,2016,62.33,58.81,60.48,África
450,2021,69.1,62.48,65.67,América
451,2020,72.12,65.08,68.49,América
452,2019,72.66,65.81,69.12,América
453,2018,72.44,65.5,68.9,América
454,2017,72.21,65.3,68.67,América
455,2016,71.88,65.08,68.38,América
456,2021,66.12,60.4,63.19,América
457,2020,67.12,61.13,64.05,América
458,2019,67.33,61.31,64.26,América
459,2018,66.92,61.23,64.02,América
460,2017,66.73,61.09,63.85,América
461,2016,66.24,60.66,63.39,América
462,2021,72.53,67.89,70.12,América
463,2020,73.99,69.13,71.46,América
464,2019,75.37,70.53,72.88,América
465,2018,75.32,70.46,72.81,América
466,2017,75.19,70.35,72.69,América
467,2016,75.08,70.26,72.59,América
468,2021,77.8,70.7,74.3,Europa
469,2020,79.0,72.3,75.7,Europa
470,2019,79.7,73.1,76.5,Europa
471,2018,79.6,72.7,76.2,Europa
472,2017,79.3,72.5,76.0,Europa
473,2016,79.7,72.6,76.2,Europa
474,2021,68.89,65.76,67.24,Asia
475,2020,71.82,68.62,70.15,Asia
476,2019,72.4,69.53,70.91,Asia
477,2018,72.14,69.37,70.71,Asia
478,2017,71.86,69.16,70.47,Asia
479,2016,71.5,68.81,70.12,Asia
480,2021,69.74,65.53,67.57,Asia
481,2020,70.98,66.75,68.81,Asia
482,2019,72.6,68.48,70.52,Asia
483,2018,72.4,68.31,70.34,Asia
484,2017,71.9,68.0,69.94,Asia
485,2016,71.75,67.87,69.8,Asia
486,2021,72.42,68.2,70.38,Asia
487,2020,71.19,66.95,69.12,Asia
488,2019,73.43,69.56,71.58,Asia
489,2018,73.29,69.56,71.51,Asia
490,2017,73.24,67.51,70.41,Asia
491,2016,72.38,65.61,68.99,Asia
492,2021,76.81,71.25,73.88,Asia
493,2020,77.82,72.1,74.83,Asia
494,2019,79.06,73.38,76.1,Asia
495,2018,79.09,73.52,76.2,Asia
496,2017,78.9,73.27,75.97,Asia
497,2016,78.34,73.06,75.6,Asia
498,2021,84.3,80.5,82.4,Europa
499,2020,84.4,80.8,82.6,Europa
500,2019,84.7,80.8,82.8,Europa
501,2018,84.1,80.4,82.2,Europa
502,2017,84.0,80.4,82.2,Europa
503,2016,83.6,79.8,81.7,Europa
504,2021,84.6,81.8,83.2,Europa
505,2020,84.6,81.6,83.1,Europa
506,2019,84.7,81.7,83.2,Europa
507,2018,84.5,81.3,82.9,Europa
508,2017,84.3,81.1,82.6,Europa
509,2016,84.1,80.4,82.2,Europa
510,2021,67.2,63.69,65.27,Oceanía
511,2020,66.88,63.43,64.98,Oceanía
512,2019,66.61,63.23,64.75,Oceanía
513,2018,66.36,63.0,64.5,Oceanía
514,2017,66.12,62.77,64.27,Oceanía
515,2016,65.91,62.56,64.06,Oceanía
516,2021,71.96,68.93,70.35,Oceanía
517,2020,71.8,68.79,70.2,Oceanía
518,2019,71.9,69.03,70.38,Oceanía
519,2018,71.74,68.79,70.17,Oceanía
520,2017,71.58,68.58,69.99,Oceanía
521,2016,71.43,68.37,69.8,Oceanía
522,2021,84.6,80.5,82.5,Asia
