Country,Year,Value,Max,Min
estonia,2019,185.27,264.2,108.14
estonia,2018,187.02,266.6,110.91
estonia,2017,185.46,263.79,112.51
estonia,2016,193.78,268.45,119.21
etiopia,2021,10.52,16.49,6.3
etiopia,2020,10.31,15.74,5.94
etiopia,2019,10.07,15.78,6.12
etiopia,2018,9.8,15.26,5.81
etiopia,2017,9.56,14.58,5.85
etiopia,2016,9.37,13.91,5.66
filipinas,2021,39.72,61.33,21.32
filipinas,2020,38.55,57.42,21.16
filipinas,2019,38.45,58.23,21.14
filipinas,2018,36.96,55.85,20.25
filipinas,2017,35.98,53.81,20.14
filipinas,2016,35.62,53.08,20.04
finlandia,2021,86.52,139.33,40.03
finlandia,2020,84.97,136.14,39.64
finlandia,2019,84.38,135.92,38.41
finlandia,2018,83.87,134.6,38.24
finlandia,2017,82.16,133.86,36.69
finlandia,2016,80.43,131.64,35.08
fiyi,2021,222.07,329.43,110.43
fiyi,2020,220.14,329.7,109.0
fiyi,2019,216.6,324.55,108.17
fiyi,2018,212.28,318.46,108.42
fiyi,2017,208.51,309.08,104.25
fiyi,2016,205.44,299.76,101.98
francia,2021,58.76,98.44,23.68
francia,2020,59.14,98.42,24.48
francia,2019,58.83,98.91,24.61
francia,2018,58.11,97.13,24.1
francia,2017,57.24,95.07,23.45
francia,2016,55.98,92.39,22.67
gabon,2021,70.11,108.07,39.72
gabon,2020,69.95,108.92,39.46
gabon,2019,69.23,107.54,39.17
gabon,2018,68.0,106.27,39.02
gabon,2017,66.59,102.36,38.67
gabon,2016,65.34,100.56,38.04
gambia,2021,29.44,48.59,16.24
gambia,2020,29.39,47.92,16.13
gambia,2019,29.61,48.39,16.42
gambia,2018,28.66,47.37,15.68
gambia,2017,28.54,46.69,15.72
gambia,2016,26.96,43.32,14.77
georgia,2021,125.1,188.63,70.01
georgia,2020,131.78,197.34,74.05
georgia,2019,126.11,187.34,70.5
georgia,2018,129.82,190.12,73.13
georgia,2017,142.0,206.82,81.86
georgia,2016,155.22,222.77,91.76
ghana,2021,33.27,54.38,17.24
ghana,2020,32.93,54.83,17.07
ghana,2019,32.35,52.61,16.99
ghana,2018,31.78,51.05,16.75
ghana,2017,31.04,50.02,15.92
ghana,2016,30.18,48.12,15.62
granada,2021,110.39,161.69,60.69
granada,2020,109.88,161.06,61.07
granada,2019,107.13,155.56,59.49
granada,2018,101.94,145.92,56.03
granada,2017,95.1,137.85,53.23
granada,2016,92.46,134.09,52.04
grecia,2021,115.46,184.78,53.38
grecia,2020,111.8,178.35,52.31
grecia,2019,107.84,172.65,49.88
grecia,2018,104.07,166.32,48.4
grecia,2017,101.12,161.05,46.94
grecia,2016,96.9,154.41,45.59
guatemala,2021,52.82,80.32,27.39
guatemala,2020,51.57,76.0,27.12
guatemala,2019,53.76,78.91,27.79
guatemala,2018,50.66,73.9,26.19
guatemala,2017,48.26,70.99,25.01
guatemala,2016,47.88,70.03,24.99
guinea,2021,21.62,33.79,12.05
guinea,2020,22.0,34.2,12.42
guinea,2019,22.24,34.43,12.63
guinea,2018,22.48,34.84,12.66
guinea,2017,22.68,35.31,12.72
guinea,2016,22.98,35.5,12.97
guinea-bisau,2021,27.23,43.84,15.33
guinea-bisau,2020,27.35,43.62,15.19
guinea-bisau,2019,27.34,43.57,15.31
guinea-bisau,2018,27.14,42.83,14.99
guinea-bisau,2017,26.86,42.11,14.78
guinea-bisau,2016,26.61,41.77,14.54
guinea-ecuatorial,2021,32.68,52.84,16.58
guinea-ecuatorial,2020,32.31,52.26,16.77
guinea-ecuatorial,2019,31.56,50.87,16.3
guinea-ecuatorial,2018,30.29,48.68,15.58
guinea-ecuatorial,2017,29.22,46.78,14.94
guinea-ecuatorial,2016,28.36,45.72,14.16
guyana,2021,109.43,163.31,60.48
guyana,2020,109.46,161.29,63.06
guyana,2019,108.71,160.4,63.54
guyana,2018,108.48,157.98,63.36
guyana,2017,106.65,154.91,62.68
guyana,2016,103.83,149.99,61.8
haiti,2021,36.47,57.71,17.78
haiti,2020,36.1,57.64,17.87
haiti,2019,35.65,57.63,17.51
haiti,2018,34.74,56.29,17.21
haiti,2017,33.91,54.05,16.89
haiti,2016,33.4,53.12,16.8
honduras,2021,45.31,69.03,23.79
honduras,2020,45.12,68.1,23.77
honduras,2019,44.61,67.43,23.61
honduras,2018,43.92,66.06,23.53
honduras,2017,43.32,65.5,23.23
honduras,2016,42.45,64.38,22.7
hungria,2021,157.6,239.1,82.23
hungria,2020,164.03,247.67,90.4
hungria,2019,162.11,240.81,88.87
hungria,2018,163.78,240.58,91.07
hungria,2017,162.31,239.63,89.57
hungria,2016,156.87,230.4,86.84
india,2021,24.28,37.99,11.35
india,2020,23.95,38.44,11.19
india,2019,23.59,37.63,11.14
india,2018,22.67,35.68,10.74
india,2017,21.52,33.31,10.08
india,2016,20.65,32.42,9.68
indonesia,2021,31.43,47.49,17.54
indonesia,2020,30.69,47.22,16.81
indonesia,2019,29.73,47.67,16.21
indonesia,2018,28.81,42.9,15.54
indonesia,2017,27.99,43.44,15.59
indonesia,2016,27.18,42.01,15.09
irak,2021,66.42,104.28,30.89
irak,2020,66.13,104.09,30.9
irak,2019,61.08,96.54,28.74
irak,2018,57.62,91.89,26.92
irak,2017,54.8,86.98,25.77
irak,2016,53.53,85.39,25.55
iran,2021,58.44,85.79,31.54
iran,2020,57.01,84.06,31.23
iran,2019,58.27,86.01,31.87
iran,2018,55.65,80.74,30.15
iran,2017,53.87,79.06,29.27
iran,2016,51.87,75.28,28.54
irlanda,2021,40.49,68.37,14.19
irlanda,2020,41.92,70.37,14.96
irlanda,2019,43.44,73.64,15.68
irlanda,2018,43.28,73.46,15.75
irlanda,2017,42.55,72.01,15.45
irlanda,2016,42.94,72.96,15.88
islandia,2021,46.84,80.81,16.33
islandia,2020,45.07,78.15,15.7
islandia,2019,46.32,79.52,16.4
islandia,2018,46.01,79.38,16.46
islandia,2017,46.54,79.84,16.99
islandia,2016,47.03,80.39,17.37
islas-marshall,2021,153.19,234.79,68.25
islas-marshall,2020,149.73,228.61,66.49
islas-marshall,2019,146.2,221.62,65.3
islas-marshall,2018,142.81,217.69,64.28
islas-marshall,2017,139.38,211.75,64.02
islas-marshall,2016,135.92,206.09,62.6
islas-salomon,2021,67.42,108.29,29.66
islas-salomon,2020,67.27,107.7,29.65
islas-salomon,2019,65.7,106.25,29.31
islas-salomon,2018,63.8,102.98,28.31
islas-salomon,2017,62.08,98.83,27.65
islas-salomon,2016,60.09,95.78,27.02
israel,2021,44.76,72.99,17.77
israel,2020,44.89,73.3,17.97
israel,2019,45.72,74.32,18.39
israel,2018,45.05,72.75,18.19
israel,2017,45.46,73.06,18.38
israel,2016,46.02,73.91,18.84
italia,2021,100.68,160.16,46.46
italia,2020,100.42,160.21,45.99
italia,2019,97.46,155.72,45.41
italia,2018,96.22,153.37,44.94
italia,2017,94.92,151.43,44.32
italia,2016,92.27,147.14,43.29
jamaica,2021,99.88,153.66,52.82
jamaica,2020,96.0,149.12,50.83
jamaica,2019,97.11,149.55,53.26
jamaica,2018,93.15,141.54,51.7
jamaica,2017,90.6,135.54,51.11
jamaica,2016,88.42,131.85,49.06
japon,2021,36.11,60.44,17.51
japon,2020,34.05,56.34,16.83
