,Year,Obesity Rate,Max,Min,Continent
390,2021,70.11,108.07,39.72,África
391,2020,69.95,108.92,39.46,África
392,2019,69.23,107.54,39.17,África
393,2018,68.0,106.27,39.02,África
394,2017,66.59,102.36,38.67,África
395,2016,65.34,100.56,38.04,África
396,2021,29.44,48.59,16.24,África
397,2020,29.39,47.92,16.13,África
398,2019,29.61,48.39,16.42,África
399,2018,28.66,47.37,15.68,África
400,2017,28.54,46.69,15.72,África
401,2016,26.96,43.32,14.77,África
402,2021,125.1,188.63,70.01,Asia
403,2020,131.78,197.34,74.05,Asia
404,2019,126.11,187.34,70.5,Asia
405,2018,129.82,190.12,73.13,Asia
406,2017,142.0,206.82,81.86,Asia
407,2016,155.22,222.77,91.76,Asia
408,2021,33.27,54.38,17.24,África
409,2020,32.93,54.83,17.07,África
410,2019,32.35,52.61,16.99,África
411,2018,31.78,51.05,16.75,África
412,2017,31.04,50.02,15.92,África
413,2016,30.18,48.12,15.62,África
414,2021,110.39,161.69,60.69,América
415,2020,109.88,161.06,61.07,América
416,2019,107.13,155.56,59.49,América
417,2018,101.94,145.92,56.03,América
418,2017,95.1,137.85,53.23,América
419,2016,92.46,134.09,52.04,América
420,2021,115.46,184.78,53.38,Europa
421,2020,111.8,178.35,52.31,Europa
422,2019,107.84,172.65,49.88,Europa
423,2018,104.07,166.32,48.4,Europa
424,2017,101.12,161.05,46.94,Europa
425,2016,96.9,154.41,45.59,Europa
426,2021,52.82,80.32,27.39,América
427,2020,51.57,76.0,27.12,América
428,2019,53.76,78.91,27.79,América
429,2018,50.66,73.9,26.19,América
430,2017,48.26,70.99,25.01,América
431,2016,47.88,70.03,24.99,América
432,2021,21.62,33.79,12.05,África
433,2020,22.0,34.2,12.42,África
434,2019,22.24,34.43,12.63,África
435,2018,22.48,34.84,12.66,África
436,2017,22.68,35.31,12.72,África
437,2016,22.98,35.5,12.97,África
438,2021,27.23,43.84,15.33,África
439,2020,27.35,43.62,15.19,África
440,2019,27.34,43.57,15.31,África
441,2018,27.14,42.83,14.99,África
442,2017,26.86,42.11,14.78,África
443,2016,26.61,41.77,14.54,África
444,2021,32.68,52.84,16.58,África
445,2020,32.31,52.26,16.77,África
446,2019,31.56,50.87,16.3,África
447,2018,30.29,48.68,15.58,África
448,2017,29.22,46.78,14.94,África
449,2016,28.36,45.72,14.16,África
450,2021,109.43,163.31,60.48,América
451,2020,109.46,161.29,63.06,América
452,2019,108.71,160.4,63.54,América
453,2018,108.48,157.98,63.36,América
454,2017,106.65,154.91,62.68,América
455,2016,103.83,149.99,61.8,América
456,2021,36.47,57.71,17.78,América
457,2020,36.1,57.64,17.87,América
458,2019,35.65,57.63,17.51,América
459,2018,34.74,56.29,17.21,América
460,2017,33.91,54.05,16.89,América
461,2016,33.4,53.12,16.8,América
462,2021,45.31,69.03,23.79,América
463,2020,45.12,68.1,23.77,América
464,2019,44.61,67.43,23.61,América
465,2018,43.92,66.06,23.53,América
466,2017,43.32,65.5,23.23,América
467,2016,42.45,64.38,22.7,América
468,2021,157.6,239.1,82.23,Europa
469,2020,164.03,247.67,90.4,Europa
470,2019,162.11,240.81,88.87,Europa
471,2018,163.78,240.58,91.07,Europa
472,2017,162.31,239.63,89.57,Europa
473,2016,156.87,230.4,86.84,Europa
474,2021,24.28,37.99,11.35,Asia
475,2020,23.95,38.44,11.19,Asia
476,2019,23.59,37.63,11.14,Asia
477,2018,22.67,35.68,10.74,Asia
478,2017,21.52,33.31,10.08,Asia
479,2016,20.65,32.42,9.68,Asia
480,2021,31.43,47.49,17.54,Asia
481,2020,30.69,47.22,16.81,Asia
482,2019,29.73,47.67,16.21,Asia
483,2018,28.81,42.9,15.54,Asia
484,2017,27.99,43.44,15.59,Asia
485,2016,27.18,42.01,15.09,Asia
486,2021,66.42,104.28,30.89,Asia
487,2020,66.13,104.09,30.9,Asia
488,2019,61.08,96.54,28.74,Asia
489,2018,57.62,91.89,26.92,Asia
490,2017,54.8,86.98,25.77,Asia
491,2016,53.53,85.39,25.55,Asia
492,2021,58.44,85.79,31.54,Asia
493,2020,57.01,84.06,31.23,Asia
494,2019,58.27,86.01,31.87,Asia
495,2018,55.65,80.74,30.15,Asia
496,2017,53.87,79.06,29.27,Asia
497,2016,51.87,75.28,28.54,Asia
498,2021,40.49,68.37,14.19,Europa
499,2020,41.92,70.37,14.96,Europa
